qftplusmetadataid|test_type|blooddrawtype|tubes|nil|mitogen|automatedrun|softwareused|sameplate|batchedrun|fedex_shipped|batched_shipping|local_processing|standardcurve|plasmarun|storagetemp|manualentry
1|1|1|4|1|1|2|3|1|2|2|1|1|2|2|1|2
2|1|1|3|1|1|1|1|2|2|2|2|1|1|1|3|2
3|1|1|3|1|1|1|2|2|1|2|1|1|2|2|1|2
4|1|1|1|2|2|2|3|1|1|2|2|1|2|2|2|1
5|1|1|3|1|1|1|2|2|1|2|2|1|2|2|1|2
6|1|1|3|1|1|2|3|2|1|2|1|1|2|2|1|1
7|1|1|6|2|2|2|3|2|1|1|1|2|2|2|1|1
8|1|1|3|1|1|2|3|2|1|1|1|2|2|2|1|1
9|1|2|3|1|1|2|3|2|1|1|1|2|2|2|1|2
10|1|2|3|1|1|2|3|2|1|2|2|1|1|2|1|2
11|1|1|1|2|2|2|3|2|1|1|1|1|2|2|1|2
12|1|1|3|1|1|1|1|1|1|2|2|1|2|2|1|2
13|2|1|2|2|2|2|3|1|2|2|1|1|1|2|1|2
14|2|2|5|1|1|2|3|2|1|2|2|1|1|2|1|1
15|2|1|2|2|2|1|2|2|1|2|1|1|1|2|1|2
16|2|1|5|1|1|2|3|1|1|2|2|1|1|2|2|1
17|2|1|2|2|2|1|2|2|1|2|2|1|1|2|1|2
18|2|1|2|2|2|2|3|2|1|2|1|1|1|2|1|2
19|2|1|6|2|2|2|3|2|1|1|1|2|1|2|1|2
20|2|1|2|2|2|2|3|2|1|1|1|2|1|2|1|2
21|2|2|5|1|1|2|3|2|1|1|1|2|1|2|1|2
22|2|2|2|2|2|2|3|2|1|2|2|1|1|2|1|2
23|2|1|5|1|1|2|3|2|1|1|1|1|1|2|1|2
24|2|1|2|2|2|1|1|1|1|2|2|1|1|2|1|1
